Sonication,43203,43211,43213,43214,43215,43262,43263,43265,43267,2017_07_28,2017_08_25,2018_02_09,2017_03_17,2018_03_14
1,100.0000386,200.0000887,249.9997997,200.00006,199.5000006,150.0000994,150.0001424,149.9999882,150.0000121,150.0001589,149.9999824,200.9998534,99.9999936,99.99999732
2,100.0000386,300.0001315,349.9997302,250.0000578,150.0000086,250.500153,150.0001424,149.9999882,150.0000121,249.0002623,249.9999905,251.9998242,99.9999936,199.9999934
3,100.0000127,349.9999726,349.9997302,300.0000672,174.999995,351.0002211,150.0001424,149.9999882,150.0000121,300.0003142,299.9999836,251.9998242,149.9999813,300.0001106
4,100.0000136,349.9999726,349.9997302,300.0000811,174.999995,351.0002211,150.0001424,149.9999882,150.0000121,351.0000378,299.9999863,251.9999721,149.9999813,299.9997306
5,100.0000136,349.9999726,399.9997394,300.0000811,174.999995,351.0002211,149.9999397,199.4999531,150.0000121,450.0000474,350.0000138,251.9999721,199.9999688,299.9997306
6,100.0000136,350.0002304,499.9996245,450.0001014,174.9999617,350.9999585,149.9999397,199.4999531,149.9999593,650.000052,399.9999901,251.9999721,299.9999688,299.9997306
7,100.0000136,600.000371,600.0001312,500.0001531,174.9999617,350.9999585,149.9999899,199.4999531,149.9999593,799.5000659,500.0000364,251.9999721,399.9999697,450.0002462
8,150.0000295,600.000087,700.0001287,600.0001517,299.9999221,301.4999562,149.9999899,299.9999295,149.9999593,799.5000252,851.5000062,251.9999721,499.9999619,650.00033
9,200.0000269,550.0000845,700.0001719,702.0001612,349.9999016,301.4999562,200.9999867,349.9999271,149.9999593,799.5005099,1001.000021,499.9997704,499.9998859,799.5004732
10,224.9999552,549.999866,700.0001434,799.5001107,351.000012,500.4999008,252.0001345,451.499886,199.4999455,1001.000701,1100.999985,499.9997704,599.9998209,897.0004968
11,225.0002112,749.9997807,798.0002094,900.000113,450.0000315,649.9999199,351.0002088,350.0000855,349.9999135,,1401.000069,500.0000078,799.999839,897.0004968
12,225.0000198,749.9998194,798.0002028,954.0000826,500.5000029,747.4998928,450.0002727,550.0001475,499.9999357,,1499.999991,650.0000063,999.9997771,1202.500673
13,250.0000229,749.9998653,,899.9999828,702.0000529,797.9998805,449.9999429,600.0001622,650.0000602,,1450.00013,800.0000429,1099.99968,1202.500673
14,300.0000483,802.4997788,,801.0006301,597.999974,899.9998095,350.999861,649.9998451,749.9993877,,1449.999802,900.0000169,1099.999659,1202.499906
15,325.0000427,809.9998787,,899.9996018,649.999983,900.9997641,402.0001458,699.9999088,901.9990389,,1450.000103,1049.99996,1049.99969,1104.99995
16,350.0003495,809.9999892,,953.9997743,597.9999366,1002.999781,401.9999009,599.9999162,1000.998951,,1500.000199,1300.000145,,1097.999857
17,400.0003948,757.5000309,,953.999426,598.0000228,1002.999781,452.9998865,,1000.998951,,1499.99996,1392.86573,,1097.999857
18,425.0004268,,,,702.0000478,1099.999514,401.9999009,,,,1450.000117,1299.999903,,
19,450.0004539,,,,604.4999766,1199.99943,401.9999009,,,,1450.000117,1001.999901,,
20,500.0005199,,,,,1099.999473,,,,,1399.999945,1200.000025,,
21,500.0005199,,,,,1199.999446,,,,,1300.000131,1100.000009,,
22,425.0004268,,,,,,,,,,,1100.000036,,
23,460.0004697,,,,,,,,,,,1100.000036,,
24,460.0004697,,,,,,,,,,,1001.999976,,
25,480.0004765,,,,,,,,,,,1002.000072,,
26,,,,,,,,,,,,1299.999783,,
27,,,,,,,,,,,,1299.999838,,
28,,,,,,,,,,,,1389.783327,,
29,,,,,,,,,,,,1389.783327,,
30,,,,,,,,,,,,1300.000067,,
31,,,,,,,,,,,,1002.000029,,
32,,,,,,,,,,,,1301.999747,,
33,,,,,,,,,,,,1099.999945,,
34,,,,,,,,,,,,1050.000039,,
35,,,,,,,,,,,,1150.000005,,
36,,,,,,,,,,,,1099.99995,,
37,,,,,,,,,,,,1049.999951,,
38,,,,,,,,,,,,1049.999963,,
39,,,,,,,,,,,,1050.000039,,
40,,,,,,,,,,,,1050.000045,,
41,,,,,,,,,,,,1050.000045,,
42,,,,,,,,,,,,599.999987,,
43,,,,,,,,,,,,1001.999971,,
44,,,,,,,,,,,,1001.999936,,
45,,,,,,,,,,,,1001.999959,,
46,,,,,,,,,,,,1100.000042,,
47,,,,,,,,,,,,1300.000157,,
48,,,,,,,,,,,,1199.9999,,
49,,,,,,,,,,,,1099.999977,,
50,,,,,,,,,,,,1099.999977,,
51,,,,,,,,,,,,1200.000111,,
