Sonication,43203,43211,43213,43214,43215,43262,43263,43265,43267,2017_07_28,2017_08_25,2018_02_09,2017_03_17,2018_03_14
1,100,200,250,200,199.5,150,150,150,150,150,150,201,100.007,100.006
2,100,300,350,250,150,250.5,150,150,150,249,250,252,100.007,200.002
3,100,350,350,300,175,351,150,150,150,300,300,252,150.009,300.001
4,100,350,350,300,175,351,150,150,150,351,361.244,252,150.009,299.991
5,100,350,400,300,175,351,150,199.5,150,450,421.388,252,199.986,299.991
6,100,350,500,450,175,351,150,199.5,150,650,481.587,252,299.995,299.991
7,100,600,600,500,175,351,150,199.5,150,799.5,602.356,252,400.011,450
8,150,600,700,600,300,301.5,150,300,150,799.5,1026.43,252,500.002,649.998
9,200,550,700,702,350,301.5,201,350,150,799.5,1206.5,500,500.006,799.506
10,225,550,700,799.5,425.99,500.5,252,451.5,199.5,1001,1327.46,500,600.007,897.013
11,225,750,798,900,546.141,650,351,350,350,,1688.34,579.683,800.006,897.013
12,225,750,798,954,607.43,747.5,450,550,500,,1808.21,753.588,999.981,1202.504
13,250,750,,900,851.98,798,450,600,650,,1748.29,969.283,1099.993,1202.504
14,300,802.5,,801,725.761,900,351,650,750,,1748.94,1090.44,1100.01,1202.494
15,325,810,,900,788.256,901,402,700,902,,1748.54,1272.18,1049.998,1104.996
16,350,810,,954,725.195,1003,402,600,1001,,1806.87,1575.11,,1097.994
17,400,757.5,,954,724.723,1003,453,,1001,,1806.45,1699.44,,1097.994
18,425,,,,850.762,1100,402,,,,1747.93,1577.73,,
19,450,,,,732.601,1200,402,,,,1747.93,1216.28,,
20,500,,,,,1100,,,,,1687.27,1457.04,,
21,500,,,,,1200,,,,,1566.61,1335.26,,
22,425,,,,,,,,,,,1334.92,,
23,460,,,,,,,,,,,1334.92,,
24,460,,,,,,,,,,,1216,,
25,480,,,,,,,,,,,1214.07,,
26,,,,,,,,,,,,1575.15,,
27,,,,,,,,,,,,1575.98,,
28,,,,,,,,,,,,1701.76,,
29,,,,,,,,,,,,1701.76,,
30,,,,,,,,,,,,1579.78,,
31,,,,,,,,,,,,1217.31,,
32,,,,,,,,,,,,1583.07,,
33,,,,,,,,,,,,1336.74,,
34,,,,,,,,,,,,1276.32,,
35,,,,,,,,,,,,1398.25,,
36,,,,,,,,,,,,1337.46,,
37,,,,,,,,,,,,1277.01,,
38,,,,,,,,,,,,1276.67,,
39,,,,,,,,,,,,1276.32,,
40,,,,,,,,,,,,1275,,
41,,,,,,,,,,,,1275,,
42,,,,,,,,,,,,728.053,,
43,,,,,,,,,,,,1215.85,,
44,,,,,,,,,,,,1216.09,,
45,,,,,,,,,,,,1216.47,,
46,,,,,,,,,,,,1335.35,,
47,,,,,,,,,,,,1578.99,,
48,,,,,,,,,,,,1457.14,,
49,,,,,,,,,,,,1335.71,,
50,,,,,,,,,,,,1335.75,,
51,,,,,,,,,,,,1457.11,,
