Sonication,43203,43211,43213,43214,43215,43262,43263,43265,43267,2017_07_28,2017_08_25,2018_02_09,2017_03_17,2018_03_14
1,100.000031,200.000092,249.999817,200,200,150,150,150,150,150.000153,149.999985,200.999863,99.999992,100
2,100.000031,300.000122,349.999725,250,150,250,150,150,150,249.000259,249.999985,251.999832,99.999992,200
3,100.000023,350,349.999725,300,175,350,150,150,150,300.000305,299.999969,251.999832,149.999985,300.000122
4,100.000015,350,349.999725,300,175,350,150,150,150,351.000031,300,251.999985,149.999985,299.999725
5,100.000015,350,399.999725,300,175,350,150,200,150,450.000061,349.999969,251.999985,199.999985,299.999725
6,100.000015,350.000214,499.999634,450,175,350,150,200,,650.000061,400.000031,251.999985,299.999969,299.999725
7,100.000015,600.000366,600.000122,500,175,350,150,200,150,799.500122,500.000061,251.999985,399.999969,450.000244
8,150.000015,600.000061,700.000122,600,300,350,150,300,150,799.5,851.500061,251.999985,499.999939,650.000366
9,200.000031,550.000061,700.000183,702,350,350,200,350,150,799.500549,1001,499.999786,499.999908,799.500427
10,224.999954,549.999878,700.000122,799,351,500,252,450,200,1001.000671,1101,499.999786,599.999817,897.000488
11,225.000198,749.999756,798.000183,900,450,650,350,350,350,,1401,500,799.999817,897.000488
12,225.000031,749.999817,798.000183,954,500,750,450,550,500,,1500,650,999.999756,1202.50061
13,250.000031,749.999878,,900,702,798,450,600,650,,1450.000122,800.000061,1099.999634,1202.50061
14,300.000031,802.499756,,801,600,900,350,650,750,,1449.999878,900,1099.999634,1202.499878
15,325.000031,809.999878,,900,650,901,400,700,900,,1450,1050,1049.999634,1104.999878
16,350.000366,810,,954,598,1000,400,600,1000,,1500,1299.999878,,1097.999878
17,400.000397,757.5,,954,598,1000,453,,1000,,1500,1392.865967,,1097.999878
18,425.000427,,,,702,1100,400,,,,1450,1300,,
19,450.000458,,,,605,1200,400,,,,1450,1001.999878,,
20,500.000488,,,,,1100,,,,,1399.999878,1200,,
21,,,,,,1200,,,,,1300.000122,1100,,
22,425.000427,,,,,,,,,,,1100,,
23,460.000458,,,,,,,,,,,1100,,
24,460.000458,,,,,,,,,,,1001.999939,,
25,480.000488,,,,,,,,,,,1002.000061,,
26,,,,,,,,,,,,1300,,
27,,,,,,,,,,,,1300,,
28,,,,,,,,,,,,1389.783569,,
29,,,,,,,,,,,,1389.783569,,
30,,,,,,,,,,,,1300,,
31,,,,,,,,,,,,1002,,
32,,,,,,,,,,,,1301.999878,,
33,,,,,,,,,,,,1100,,
34,,,,,,,,,,,,1050,,
35,,,,,,,,,,,,1150,,
36,,,,,,,,,,,,1100,,
37,,,,,,,,,,,,1050,,
38,,,,,,,,,,,,1050,,
39,,,,,,,,,,,,1050,,
40,,,,,,,,,,,,1050,,
41,,,,,,,,,,,,1050,,
42,,,,,,,,,,,,600,,
43,,,,,,,,,,,,1002,,
44,,,,,,,,,,,,1001.999939,,
45,,,,,,,,,,,,1002,,
46,,,,,,,,,,,,1100,,
47,,,,,,,,,,,,1300,,
48,,,,,,,,,,,,1200,,
49,,,,,,,,,,,,1100,,
50,,,,,,,,,,,,1100,,
51,,,,,,,,,,,,1200.000122,,
