Density (kg/m^3),Attenuation (Np/cm)
1223.464,4.30192
1246.508,4.06709
1286.313,3.70927
1309.358,3.50799
1328.212,3.36262
1347.067,3.21166
1391.061,2.90415
1412.011,2.78115
1435.056,2.64137
1462.291,2.49601
1531.425,2.18291
1567.039,2.05431
1594.274,1.96486
1640.363,1.84185
1759.777,1.62939
1816.341,1.56789
1858.24,1.53994
1916.899,1.51198
2080.307,1.51757
2172.486,1.53435
2262.57,1.55112
2377.793,1.56789
2455.307,1.5623
2547.486,1.54553
2679.469,1.48962
2756.983,1.43371
2834.497,1.3778
2979.05,1.25479
3060.754,1.1877
3159.218,1.14297
3293.296,1.14297
3377.095,1.21565
3458.799,1.34425
